Long.,Lat.,Full_Name_ar,Full_Name_eng,Start_Date,End_Date,Zone,Emirate,Emirate_in_details 
53.86,24.18,أبو الأبيض,Abu Al Abyad ,2005,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
53.15,25.50,أبو البخوش,Abu Al Bukhoosh ,2004,2026,3,Abu Dhabi Emirate,Al Dhafra Region
54.33,24.48,كورنيش أبوظبي,Abu Dhabi ,2003,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
54.32,24.46,برج أدنوك,ADNOC HQ ,2019,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
55.44,25.42,عجمان,Ajman ,2013,2026,6,Ajman Emirate,Ajman_region
55.54,24.24,العامرة,Al Aamerah ,2020,2026,1,Abu Dhabi Emirate,Al Ain_region
54.88,24.56,العجبان,Al Ajban ,2015,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
54.17,24.31,الأريام,Al Aryam ,2008,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
53.08,24.32,جزيرة البزم,Al Bazam Island ,2021,2026,3,Abu Dhabi Emirate,Al Dhafra Region
55.82,25.24,الذيد,Al Dhaid ,2010,2026,7,Sharjah Emirate,Sharjah_region
55.62,24.72,الفقع,Al Faqa ,2003,2026,1,Abu Dhabi Emirate,Al Ain_region
56.18,25.17,الفرفار,Al FarFar ,2017,2026,7,Al Fujairah Emirate,Al Fujairah_region
54.72,23.94,الحفار,Al Haffar ,2019,2026,1,Abu Dhabi Emirate,Abu Dhabi_region
55.77,24.63,الهير,Al Hayer ,2022,2026,1,Abu Dhabi Emirate,Al Ain_region
56.16,25.13,جبل الحبن,Al Heben ,2004,2026,8,Ras Al Khaimah Emirate,Ras Al Khaimah_region
52.29,23.29,حرس حدود الجزيرة,Al Jazeera B.G. ,2003,2026,5,Abu Dhabi Emirate,Al Dhafra Region
54.82,24.86,الجرف,Al Jurf ,2023,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
55.89,25.13,مليحة,Al Malaiha ,2003,2026,7,Sharjah Emirate,Sharjah_region
55.73,25.69,المرجان,Al Marjan ,2019,2026,6,Ras Al Khaimah Emirate,Ras Al Khaimah_region
55.52,25.00,المرموم,Al Marmoom ,2021,2026,7,Dubai Emirate,Dubai_region
53.54,24.09,المرفأ,AL Mirfa ,2021,2026,3,Abu Dhabi Emirate,Al Dhafra Region
54.47,24.37,مصفح,AL Musaffah ,2019,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
54.38,24.45,المشرف,Al Mushrif ,2025,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
55.76,24.27,القطارة,Al Qatara ,2006,2026,1,Abu Dhabi Emirate,Al Ain_region
54.32,24.45,الراس,Al Rass ,2014,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
55.77,24.21,الصاروج,Al Sarouj ,2007,2026,1,Abu Dhabi Emirate,Al Ain_region
54.64,24.34,الشوامخ,Al Shawamekh ,2017,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
55.80,24.78,الشويب,Al Shiweb ,2003,2026,1,Abu Dhabi Emirate,Al Ain_region
55.61,24.11,الشعيبة,Al Shuaibah ,2015,2026,1,Abu Dhabi Emirate,Al Ain_region
56.07,25.55,الطويين,Al Tawiyen ,2003,2026,7,Al Fujairah Emirate,Al Fujairah_region
