,,,Period,,Highest Temperature °C,,,,Lowest Temperature °C,,,,Rainfall mm,,,,Rainfall occurences,,Maximum Wind km/h,,,
ID,month,month_day,period_start,period_end,highest_temperature_value,highest_temperature_year,highest_temperature_location_ar,highest_temperature_location_en,lowest_temperature_value,lowest_temperature_year,lowest_temperature_location_ar,lowest_temperature_location_en,highest_rainfall_value,highest_rainfall_year,highest_rainfall_location_ar,highest_rainfall_location_en,rainfall_occurence_value,rainfall_period_years,maximum_wind_value,maximum_wind_year,maximum_wind_location_ar,maximum_wind_location_en
1,January,1,2003,2025,31.7,2016,سويحان, Sweihan,1.9,2006,جبل جيس,Jais Mountain,132.8,2022,سيح السلم,Saih Al Salem,8,23,102,2022,مطار زايد,Zayed  Airport
2,January,2,2003,2025,31.9,2016,حرس حدود الجزيرة, Al Jazeera B.G. ,1.1,2006,جبل جيس,Jais Mountain,19.6,2014,أبو البخوش,Abu Al Bukhoosh ,9,23,76,2022,مطار زايد,Zayed  Airport
3,January,3,2003,2025,31.9,2020,الشوامخ,Al Shawamekh,1.2,2007,جبل جيس,Jais Mountain,39.6,2016,جبل مبرح, Mebreh Mountain,12,23,77,2022,جبل حفيت,Hafeet Mountain
4,January,4,2003,2025,31.2,2019,حميم, Hamim ,0.8,2007,جبل جيس,Jais Mountain,24.4,2022,خطم الشكلة,Khatam Al Shaklah ,9,23,69,2019,الفرفار,Al FarFar
5,January,5,2003,2025,30.9,2020,بدع دعفس,Bada Dafas ,1.8,2025,جبل جيس,Jais Mountain,12.6,2022,أبو البخوش,Abu Al Bukhoosh ,6,23,69,2020,قرنين,Qarnen 
6,January,6,2003,2025,30.7,2004,حرس حدود الجزيرة, Al Jazeera B.G. ,1.2,2006,ركنة, Raknah,20.3,2023,جبل الرحبه,Jabal Al Rahba,4,23,80,2022,الفرفار,Al Farfar
7,January,7,2003,2025,31.9,2013,الرويس,Al-Ruwais ,-0.3,2008,جبل جيس,Jais Mountain,35,2023,خورفكان,Khor Fakkan,5,23,69,2008,قرنين,Qarnen 
8,January,8,2003,2025,31.6,2012,الرويس,Al-Ruwais ,-0.1,2008,جبل جيس,Jais Mountain,20.7,2018,رأس الخيمة,Ras Al Khaimah,9,23,63,2021,الفرفار,Al FarFar
9,January,9,2003,2025,32.4,2012,الرويس,Al-Ruwais ,-2,2021,ركنة, Raknah,57.6,2018,جميرا ,Jumeirah ,7,23,54,2004,جبل الحبن,Al Heben Mountain
10,January,10,2003,2025,32.2,2012,حرس حدود الجزيرة, Al Jazeera B.G. ,0.2,2008,ركنة, Raknah,63.8,2020,أبو قرين,Abu Qrayn,8,23,87,2020,جبل حفيت,Hafeet Mountain
11,January,11,2003,2025,31.8,2012,الرويس,Al-Ruwais ,-1.9,2021,ركنة, Raknah,147.3,2020,خطم الشكلة,Khatam Al Shaklah ,11,23,95,2020,جبل حفيت,Hafeet Mountain
12,January,12,2003,2025,33.4,2012,الرويس,Al-Ruwais ,0.2,2020,جبل جيس,Jais Mountain,115.2,2020,ميناء صقر,Saqr Port ,9,23,85,2020,مطار الفجيرة,Fujairah Airport
13,January,13,2003,2025,32.4,2012,حرس حدود الجزيرة, Al Jazeera B.G. ,0.6,2005,جبل جيس,Jais Mountain,26.3,2008,مسافي,Masafi ,7,23,61,2009,مطار العين,Al Ain Airport 
14,January,14,2003,2025,33.1,2006,مدينة زايد, Madinat Zayed ,1,2020,جبل جيس,Jais Mountain,44.2,2009,حميم,Hamim ,9,23,83,2020,قرنين,Qarnen 
15,January,15,2003,2025,32.9,2024,الغويفات,Algheweifat ,-0.1,2020,جبل جيس,Jais Mountain,65.6,2008,فلج المعلا,Falaj Al Moalla ,6,23,68,2006,"جبل مبرح، أبو البخوش","Mebreh Mountain, Abu Albukhoosh"
16,January,16,2003,2025,32.6,2024,مخيرز,Mukhariz ,1.3,2008,جبل جيس,Jais Mountain,51.6,2008,الفقع,Al Faqa,5,23,78,2006,جبل مبرح,Mebreh Mountain
17,January,17,2003,2025,33.1,2023,الشوامخ, Al Shawamekh ,0,2008-2013,"جبل جيس، جبل جيس","Jais Mountain, Jais Mountain ",5,2022,الحفار,Al Haffar ,7,23,87,2024,الفرفار,Al FarFar
18,January,18,2003,2025,32.1,2021,كلباء, Kalba ,0.9,2013,دمثة, Damtha,4.2,2005,ضدنا,Dhudna ,11,23,76,2006,جبل مبرح,Mebreh Mountain
19,January,19,2003,2025,31.2,2021,كلباء, Kalba ,0.1,2006,جبل جيس,Jais Mountain,47.4,2015,خطم الشكلة,Khatam Al Shaklah,13,23,72,2015,مطار آل مكتوم,Al Maktoum Airport
20,January,20,2003,2025,30.3,2010,أم الزمول, Um Azimul ,1.3,2015,جبل جيس,Jais Mountain,41.8,2005,مخيرز,Mukhariz ,10,23,70,2022,جبل مبرح,Mebreh Mountain
